Template Definitions,,v10   27 June 05,,,,,,,,
ID,Template ID,Template Description,Template Type,Comments,Filename,PSD,HTML,CSS,Stylesheet,Owner
63,,Help & Advice,Snippet,Dual drop-down form: manufacturer/model,5_0_helpadvice_home.gif,,,,,Martin Crockett
64,,Web 'n' Walk,Snippet,Unordered list,3_3_1_1_web_n_walk_what_is_it.gif,,,,,Martin Crockett
65,,Customer Services Password,Snippet,Form,Redesign Wireframes 2.pdf,?,,,,Martin Crockett
66,,Send Text,Snippet,Form,Redesign Wireframes 2.pdf,?,,,,Martin Crockett
67,,Sent Messages,Snippet,Form,Redesign Wireframes 2.pdf,?,,,,Martin Crockett
68,,Manage Contacts,Snippet,Form,Redesign Wireframes 2.pdf,?,,,,Martin Crockett
69,,Future Phones,Snippet,Form,Redesign Wireframes 2.pdf,?,,,,Martin Crockett
70,,Allowances & Extras,Snippet,Data table,Redesign Wireframes 2.pdf,?,mainTbl/index.html,,"common.css, mainTbl.css, to_framework.css",Martin Crockett
71,,Phone Feature Selector,Snippet,Form,Redesign Wireframes 2.pdf,?,,,,Martin Crockett
72,,Non My T-Mobile,Snippet,Form/Account,Redesign Wireframes 2.pdf,?,,,,Martin Crockett
73,,My T-Mobile,Snippet,Form/Account,Redesign Wireframes 2.pdf,?,account.html,,"account.css, buttons.css, framework.css, headers.css, print.css",Martin Crockett
74,,Not logged-in,Snippet,Form/Account,Redesign Wireframes 2.pdf,?,,,,Martin Crockett
75,,Basket,Snippet,Shopping basket,Files not found - to be requested from Complete,,basket.html,,,Martin Crockett
76,,Visited link,Snippet,From International style guide - new colour?,,,,,,Martin Crockett
77,,Example data table,Snippet,See end of style guide?,,,,,,
