Suggested CSS naming conventions,,,,,,

,L2,Header image overlap,,largepanel-overlap,,
,L3,Full image,,,,
,L4,Half image,,,

,XLarge Panel,,,,
,X1,Tri section with overlap,,xlargepanel-tri,xpanel-tri
,X2,Header image,,,xpanel-header
,X3,Large header image,,,xpanel-large

,Double Promo,,,,
,D1,Special offer,,double-special,double-special

,Banner,,,,
,B1,Magenta digit btm,,banner-digit-bottom,
,B2,Magenta digit top,,banner-digit-top,
,B3,Focus digit,,banner-focus,
,B4,Handset,,banner-handset,
,B5,Special offer,,banner-special,
,B6,Plans special offer,,banner-plans
,B7,One-off graphics,,

,Home,,,
,H1,Slot 1 - promo,,home-slot-1
,H2,Slot 2 - promo,,
,H3,Slot 3 - double lrg,,
,H4,Slot 4/5 - double sml,,
,H5,Right nav hidden,,

,My T-Mobile,,,
,MTM1,Phone slot,,mtm-phone
,MTM2,Service promo x 2,,mtm-promo
,MTM3,Service double promo,,mtm-double
,MTM4,Text image,,mtm-text
,MTM5,Double horiz promo,,mtm-horiz
,MTM6,Medium promo,,mtm-medium,,

,,Meta navigation,,meta-nav,,
,,Font Size Controls,,,,
,,Main navigation,,main-nav,,

,,Container elements,,container-,,Prefix container elements

,,Header,,header,,
,,Main content area,,main,,
,,"Footer, copright, etc.",,footer,,
,,Logo,,logo,,
